Poèetak;Kraj;Tip stroja;Trošak
3:00;15.5.2017. 10:05;Digi-Ž88;158
6:00;15.5.2017. 13:35;sjekaè ÈK;145
7:00;15.5.2017. 12:30;aparat C290;120
7:30;15.5.2017. 16:00;Željezni-DC8;161
8:00;15.5.2017. 13:00;PM-Æ1;146
8:30;15.5.2017. 15:30;Tlaèni SÐ-11;145
8:30;15.5.2017. 14:45;Ureðaj pored prozora;176
9:00;15.5.2017. 14:05;aparat T1;149
9:30;15.5.2017. 14:25;Stroj 33;139
10:00;15.5.2017. 15:00;PM-Æ1;146
10:30;15.5.2017. 16:50;Ureðaj pored prozora;176
11:00;15.5.2017. 16:05;aparat T1;149
11:30;15.5.2017. 20:00;Željezni-DC8;161
12:00;15.5.2017. 16:50;PM-Æ1;146
12:30;15.5.2017. 18:50;PM-Æ1;146
13:25;15.5.2017. 18:35;aparat C290;120
14:00;15.5.2017. 19:00;PM-Æ1;146
14:15;15.5.2017. 19:10;Stroj 33;139
15:00;15.5.2017. 20:05;aparat T1;149
16:00;15.5.2017. 20:50;PM-Æ1;146
16:00;15.5.2017. 21:15;aparat C290;120
16:30;15.5.2017. 22:35;Stroj BŠ-1 bešumni;140
16:30;15.5.2017. 22:40;Ureðaj pored prozora;176
17:00;15.5.2017. 22:10;Stroj 33;139
17:30;15.5.2017. 22:30;PM-Æ1;146
18:00;15.5.2017. 23:05;aparat T1;149
19:15;16.5.2017. 0:30;PM-Æ1;146
19:30;16.5.2017. 1:00;Stroj BŠ-1 bešumni;140
20:00;16.5.2017. 1:50;Ureðaj pored prozora;176
21:00;16.5.2017. 2:35;aparat C290;120
22:30;16.5.2017. 3:45;Ureðaj pored prozora;176
22:30;16.5.2017. 3:35;aparat C290;120
23:55;16.5.2017. 5:00;Stroj 33;139
23:59;16.5.2017. 5:00;PM-Æ1;146
3:00;16.5.2017. 10:05;Digi-Ž88;158
6:00;16.5.2017. 13:35;sjekaè ÈK;145
7:00;16.5.2017. 12:30;aparat C290;120
7:30;16.5.2017. 16:00;Željezni-DC8;161
8:00;16.5.2017. 13:00;PM-Æ1;146
8:30;16.5.2017. 15:30;Tlaèni SÐ-11;145
8:30;16.5.2017. 14:45;Ureðaj pored prozora;176
9:00;16.5.2017. 14:05;aparat T1;149
9:30;16.5.2017. 14:25;Stroj 33;139
10:00;16.5.2017. 15:00;PM-Æ1;146
10:30;16.5.2017. 16:50;Ureðaj pored prozora;176
11:00;16.5.2017. 16:05;aparat T1;149
11:30;16.5.2017. 20:00;Željezni-DC8;161
12:00;16.5.2017. 16:50;PM-Æ1;146
12:30;16.5.2017. 18:50;PM-Æ1;146
13:25;16.5.2017. 18:35;aparat C290;120
14:00;16.5.2017. 19:00;PM-Æ1;146
14:15;16.5.2017. 19:10;Stroj 33;139
15:00;16.5.2017. 20:05;aparat T1;149
16:00;16.5.2017. 20:50;PM-Æ1;146
16:00;16.5.2017. 21:15;aparat C290;120
16:30;16.5.2017. 22:35;Stroj BŠ-1 bešumni;140
16:30;16.5.2017. 22:40;Ureðaj pored prozora;176
17:00;16.5.2017. 22:10;Stroj 33;139
17:30;16.5.2017. 22:30;PM-Æ1;146
18:00;16.5.2017. 23:05;aparat T1;149
19:15;17.5.2017. 0:30;PM-Æ1;146
19:30;17.5.2017. 1:00;Stroj BŠ-1 bešumni;140
20:00;17.5.2017. 1:50;Ureðaj pored prozora;176
21:00;17.5.2017. 2:35;aparat C290;120
22:30;17.5.2017. 3:45;Ureðaj pored prozora;176
22:30;17.5.2017. 3:35;aparat C290;120
23:55;17.5.2017. 5:00;Stroj 33;139
23:59;17.5.2017. 5:00;PM-Æ1;146
3:00;17.5.2017. 10:05;Digi-Ž88;158
6:00;17.5.2017. 13:35;sjekaè ÈK;145
7:00;17.5.2017. 12:30;aparat C290;120
7:30;17.5.2017. 16:00;Željezni-DC8;161
8:00;17.5.2017. 13:00;PM-Æ1;146
8:30;17.5.2017. 15:30;Tlaèni SÐ-11;145
8:30;17.5.2017. 14:45;Ureðaj pored prozora;176
9:00;17.5.2017. 14:05;aparat T1;149
9:30;17.5.2017. 14:25;Stroj 33;139
10:00;17.5.2017. 15:00;PM-Æ1;146
10:30;17.5.2017. 16:50;Ureðaj pored prozora;176
11:00;17.5.2017. 16:05;aparat T1;149
11:30;17.5.2017. 20:00;Željezni-DC8;161
12:00;17.5.2017. 16:50;PM-Æ1;146
12:30;17.5.2017. 18:50;PM-Æ1;146
13:25;17.5.2017. 18:35;aparat C290;120
