Poèetak;Kraj;Tip stroja;Trošak
2:30;15.5.2017. 6:30;Stroj BŠ-1 bešumni;131
5:45;15.5.2017. 9:30;Stroj 33;130
7:30;15.5.2017. 11:45;PM-Æ1;132
10:00;15.5.2017. 13:45;Stroj 33;130
12:00;15.5.2017. 16:15;PM-Æ1;132
12:30;15.5.2017. 16:40;Stroj BŠ-1 bešumni;131
12:40;15.5.2017. 16:50;Stroj 33;130
14:15;15.5.2017. 18:00;aparat C290;131
14:30;15.5.2017. 18:15;Tlaèni SÐ-11;132
16:00;15.5.2017. 19:50;PM-Æ1;132
17:00;15.5.2017. 21:00;Stroj 33;130
17:00;15.5.2017. 21:30;aparat C290;131
18:15;15.5.2017. 22:25;aparat C290;131
19:00;15.5.2017. 22:50;Èekiæ HAMM-15;132
19:40;15.5.2017. 23:20;TŽV-9000;132
19:40;15.5.2017. 23:20;TŽV-9000;132
19:45;15.5.2017. 23:30;aparat C290;131
2:30;16.5.2017. 6:30;Stroj BŠ-1 bešumni;131
5:45;16.5.2017. 9:30;Stroj 33;130
7:30;16.5.2017. 11:45;PM-Æ1;132
10:00;16.5.2017. 13:45;Stroj 33;130
12:00;16.5.2017. 16:15;PM-Æ1;132
12:30;16.5.2017. 16:40;Stroj BŠ-1 bešumni;131
12:40;16.5.2017. 16:50;Stroj 33;130
14:15;16.5.2017. 18:00;aparat C290;131
14:30;16.5.2017. 18:15;Tlaèni SÐ-11;132
16:00;16.5.2017. 19:50;PM-Æ1;132
17:00;16.5.2017. 21:00;Stroj 33;130
18:15;16.5.2017. 22:25;aparat C290;131
19:00;16.5.2017. 22:50;Èekiæ HAMM-15;132
19:40;16.5.2017. 23:20;TŽV-9000;132
19:40;16.5.2017. 23:20;TŽV-9000;132
19:45;16.5.2017. 23:30;aparat C290;131
2:30;17.5.2017. 6:30;Stroj BŠ-1 bešumni;131
5:45;17.5.2017. 9:30;Stroj 33;130
7:30;17.5.2017. 11:45;PM-Æ1;132
10:00;17.5.2017. 13:45;Stroj 33;130
12:00;17.5.2017. 16:15;PM-Æ1;132
12:30;17.5.2017. 16:40;Stroj BŠ-1 bešumni;131
12:40;17.5.2017. 16:50;Stroj 33;130
14:15;17.5.2017. 18:00;aparat C290;131
14:30;17.5.2017. 18:15;Tlaèni SÐ-11;132
16:00;17.5.2017. 19:50;PM-Æ1;132
17:00;17.5.2017. 21:00;Stroj 33;130
18:15;17.5.2017. 22:25;aparat C290;131
19:00;17.5.2017. 22:50;Èekiæ HAMM-15;132
19:40;17.5.2017. 23:20;TŽV-9000;132
19:40;17.5.2017. 23:20;TŽV-9000;132
19:45;17.5.2017. 23:30;aparat C290;131
2:30;18.5.2017. 6:30;Stroj BŠ-1 bešumni;131
5:45;18.5.2017. 9:30;Stroj 33;130
7:30;18.5.2017. 11:45;PM-Æ1;132
10:00;18.5.2017. 13:45;Stroj 33;130
12:00;18.5.2017. 16:15;PM-Æ1;132
12:30;18.5.2017. 16:40;Stroj BŠ-1 bešumni;131
12:40;18.5.2017. 16:50;Stroj 33;130
14:15;18.5.2017. 18:00;aparat C290;131
